date,pm25
2020-04-14,13.42
2020-04-15,9.66
2020-04-16,10.51
2020-04-17,9.36
2020-04-18,8.13
2020-04-19,9.03
2020-04-20,11.41
2020-04-21,10.16
2020-04-22,12.59
2020-04-23,9.12
2020-04-24,9.77
2020-04-25,14.97
2020-04-26,13.14
2020-04-27,15.73
2020-04-28,13.75
2020-04-30,12.42
2020-05-01,11.47
2020-05-02,8.74
2020-05-03,10.43
2020-05-04,9.48
2020-05-05,11.84
2020-05-06,14.09
2020-05-07,13.79
2020-05-08,12.22
2020-05-09,12.13
2020-05-10,10.92
2020-05-12,9.05
2020-05-13,9.68
2020-05-14,6.43
2020-05-15,5.76
2020-05-16,10.82
2020-05-17,13.1
2020-05-18,11.73
2020-05-19,8.8
2020-05-20,4.0
2020-05-21,6.72
2020-05-22,14.76
2020-05-23,13.95
2020-05-24,11.85
2020-05-25,13.87
2020-05-26,10.07
2020-05-27,10.78
2020-05-28,12.08
2020-05-29,12.41
2020-05-30,13.65
2020-05-31,13.88
2020-06-01,15.64
2020-06-02,13.16
2020-06-03,15.31
2020-06-04,18.13
2020-06-05,13.98
2020-06-06,11.01
2020-06-07,14.79
2020-06-08,14.43
2020-06-09,17.27
2020-06-10,14.8
2020-06-11,17.63
2020-06-12,16.3
2020-06-13,14.97
2020-06-14,17.63
2020-06-15,15.77
2020-06-16,13.0
2020-06-17,12.58
2020-06-18,14.35
2020-06-19,10.9
2020-06-20,12.97
2020-06-21,12.03
2020-06-22,16.14
2020-06-23,10.13
2020-06-24,10.38
2020-06-25,8.55
2020-06-26,9.45
2020-06-27,11.42
2020-06-28,12.07
2020-06-29,13.18
2020-06-30,35.83
2020-07-01,36.82
2020-07-02,34.71
2020-07-03,37.33
2020-07-04,55.32
2020-07-05,33.14
2020-07-06,55.99
2020-07-07,55.68
2020-07-08,41.81
2020-07-09,17.67
2020-07-10,15.73
2020-07-11,12.79
2020-07-12,11.06
2020-07-13,10.54
2020-07-14,10.54
2020-07-15,12.35
2020-07-16,14.23
2020-07-17,14.65
2020-07-18,12.18
2020-07-19,14.98
2020-07-20,17.06
2020-07-21,15.73
2020-07-22,13.91
2020-07-23,15.55
2020-07-24,15.66
2020-07-25,11.21
2020-07-26,12.29
2020-07-28,12.66
2020-07-29,14.04
2020-07-30,11.17
2020-07-31,15.72
2020-08-01,17.12
2020-08-02,15.07
2020-08-03,16.19
2020-08-04,29.11
2020-08-05,28.56
2020-08-06,30.14
2020-08-07,29.29
2020-08-08,31.83
2020-08-09,17.62
2020-08-10,14.11
2020-08-11,12.42
2020-08-12,13.83
2020-08-13,17.61
2020-08-14,13.44
2020-08-15,13.47
2020-08-16,17.42
2020-08-17,12.83
2020-08-18,10.61
2020-08-19,11.25
2020-08-20,11.37
2020-08-21,32.51
2020-08-22,31.97
2020-08-23,27.71
2020-08-24,31.28
2020-08-25,30.32
2020-08-26,15.68
2020-08-27,13.4
2020-08-28,12.11
2020-08-29,13.06
2020-08-30,14.54
2020-08-31,15.54
2020-09-01,10.87
2020-09-02,13.16
2020-09-03,10.94
2020-09-04,12.48
2020-09-05,8.75
2020-09-06,11.27
2020-09-07,10.78
2020-09-08,8.93
2020-09-09,12.28
2020-09-10,13.05
2020-09-11,11.56
2020-09-12,14.35
2020-09-13,12.18
2020-09-14,12.9
2020-09-15,13.29
2020-09-16,11.51
2020-09-17,12.9
2020-09-18,11.42
2020-09-19,9.94
2020-09-20,13.49
2020-09-21,11.02
2020-09-22,6.11
2020-09-23,12.23
2020-09-24,17.62
2020-09-25,14.05
2020-09-26,7.78
2020-09-27,8.37
2020-09-28,9.61
2020-09-29,9.97
2020-09-30,8.1
2020-10-01,10.76
2020-10-02,12.07
2020-10-03,7.4
2020-10-04,10.12
2020-10-05,15.46
2020-10-06,13.72
2020-10-07,11.61
2020-10-08,10.84
2020-10-09,12.04
2020-10-10,6.6
2020-10-11,8.24
2020-10-12,8.78
2020-10-14,11.56
2020-10-15,14.52
2020-10-16,10.01
2020-10-17,10.32
2020-10-18,10.35
2020-10-19,8.62
2020-10-20,9.43
2020-10-21,12.12
2020-10-22,10.18
2020-10-23,6.06
2020-10-24,6.54
2020-10-25,5.32
2020-10-26,6.74
2020-10-27,7.56
2020-10-28,4.4
2020-10-29,2.82
2020-10-30,6.53
2020-11-01,1.0
2020-11-02,6.46
2020-11-03,7.92
2020-11-04,6.52
2020-11-05,4.38
2020-11-06,7.91
2020-11-07,7.84
2020-11-08,12.74
2020-11-09,11.98
2020-11-10,10.96
2020-11-11,9.14
2020-11-12,10.27
2020-11-13,10.44
2020-11-14,10.97
2020-11-15,7.83
2020-11-16,7.15
2020-11-17,6.16
2020-11-18,8.37
2020-11-19,11.11
2020-11-20,8.28
2020-11-21,5.87
2020-11-22,6.63
2020-11-23,6.69
2020-11-24,8.83
2020-11-25,2.93
2020-11-26,2.79
2020-11-27,2.78
2020-11-28,1.0
2020-11-29,1.0
2020-11-30,1.11
2020-12-01,3.02
2020-12-02,6.94
2020-12-03,6.08
2020-12-04,3.85
2020-12-05,3.84
2020-12-06,6.74
2020-12-07,4.75
2020-12-08,3.29
2020-12-09,5.69
2020-12-10,5.27
2020-12-11,6.93
2020-12-12,5.47
2020-12-13,6.71
2020-12-14,4.45
2020-12-15,4.94
2020-12-16,4.76
2020-12-17,2.43
2020-12-18,1.0
2020-12-19,3.25
2020-12-20,3.04
2020-12-21,2.33
2020-12-22,3.47
2020-12-23,6.77
2020-12-24,1.07
2020-12-25,1.0
2020-12-26,1.0
2020-12-27,4.71
2020-12-28,6.02
2020-12-29,7.3
2020-12-30,3.8
2020-12-31,1.91
2021-01-01,4.33
2021-01-02,3.88
2021-01-03,5.2
2021-01-04,5.2
2021-01-05,5.72
2021-01-06,5.73
2021-01-07,7.1
2021-01-08,7.91
2021-01-09,2.11
2021-01-10,1.0
2021-01-11,3.83
2021-01-12,6.93
2021-01-13,3.77
2021-01-14,1.0
2021-01-15,2.53
2021-01-16,4.74
2021-01-17,8.36
2021-01-18,8.43
2021-01-19,6.03
2021-01-20,3.56
2021-01-22,3.86
2021-01-23,1.21
2021-01-25,10.5
2021-01-26,10.51
2021-01-27,6.0
2021-01-28,7.43
2021-01-29,7.75
2021-01-30,6.6
2021-01-31,8.25
2021-02-01,8.72
2021-02-02,8.72
2021-02-03,8.5
2021-02-04,7.75
2021-02-05,2.67
2021-02-06,3.1
2021-02-07,2.43
2021-02-08,1.39
2021-02-09,6.86
2021-02-10,9.98
2021-02-11,10.9
2021-02-12,8.99
2021-02-13,9.47
2021-02-14,7.31
2021-02-15,7.45
2021-02-16,4.2
2021-02-17,5.72
2021-02-18,5.83
2021-02-19,2.91
2021-02-20,3.18
2021-02-21,3.79
2021-02-22,9.17
2021-02-23,9.67
2021-02-24,8.03
2021-02-25,7.67
2021-02-26,7.05
2021-02-27,5.29
2021-02-28,2.91
2021-03-01,4.58
2021-03-02,3.71
2021-03-03,2.16
2021-03-04,5.21
2021-03-05,6.65
2021-03-06,1.77
2021-03-07,3.28
2021-03-08,7.5
2021-03-09,9.49
2021-03-10,10.55
2021-03-11,8.99
2021-03-12,6.21
2021-03-13,3.3
2021-03-14,5.36
2021-03-15,7.5
2021-03-16,10.22
2021-03-17,11.33
2021-03-18,9.27
2021-03-19,5.72
2021-03-20,4.94
2021-03-22,6.93
2021-03-23,6.04
2021-03-24,7.41
2021-03-25,6.53
2021-03-26,5.82
2021-03-27,6.62
2021-03-28,6.03
2021-03-29,8.06
2021-03-31,6.11
2021-04-01,6.13
2021-04-02,10.39
2021-04-03,6.16
2021-04-04,2.26
2021-04-05,1.62
2021-04-06,4.96
2021-04-07,6.85
2021-04-08,7.59
2021-04-09,10.97
2021-04-10,3.42
2021-04-11,6.55
2021-04-12,11.77
2021-04-13,8.27
2021-04-14,8.03
2021-04-15,7.12
2021-04-16,6.34
2021-04-17,6.31
2021-04-18,10.68
2021-04-19,14.92
2021-04-20,12.02
2021-04-21,15.39
2021-04-22,13.17
2021-04-23,15.77
2021-04-24,12.27
2021-04-25,11.38
2021-04-26,12.34
2021-04-27,18.6
2021-04-28,16.96
2021-04-29,12.67
2021-04-30,14.03
2021-05-01,11.0
2021-05-02,9.57
2021-05-03,12.81
2021-05-04,12.2
2021-05-05,12.44
2021-05-06,12.03
2021-05-08,12.17
2021-05-09,7.3
2021-05-10,11.28
2021-05-11,9.38
2021-05-12,7.36
2021-05-13,9.33
2021-05-14,10.76
2021-05-15,8.97
2021-05-16,11.87
2021-05-17,9.62
2021-05-18,9.98
2021-05-19,9.82
2021-05-20,10.95
2021-05-21,12.31
2021-05-22,9.37
2021-05-23,12.09
2021-05-24,13.06
2021-05-25,8.83
2021-05-26,6.39
2021-05-27,9.35
2021-05-28,10.56
2021-05-29,10.61
2021-05-30,11.33
2021-05-31,13.21
2021-06-01,15.36
2021-06-02,12.05
2021-06-03,10.12
2021-06-04,9.26
2021-06-05,10.95
2021-06-06,14.5
2021-06-07,13.7
2021-06-08,8.23
2021-06-09,21.67
2021-06-10,22.94
2021-06-12,9.77
2021-06-13,26.9
2021-06-14,27.93
2021-06-15,31.02
2021-06-16,28.94
2021-06-17,27.41
2021-06-18,14.0
2021-06-19,9.86
2021-06-20,12.33
2021-06-21,13.97
2021-06-22,13.85
2021-06-23,17.61
2021-06-24,14.84
2021-06-25,19.23
2021-06-26,15.73
2021-06-27,12.0
2021-06-28,13.83
2021-06-29,11.83
2021-06-30,11.45
2021-07-01,13.78
2021-07-02,15.43
2021-07-03,12.85
2021-07-04,15.48
2021-07-05,18.21
2021-07-06,19.83
2021-07-07,18.74
2021-07-08,19.98
2021-07-09,13.53
2021-07-10,12.53
2021-07-11,11.27
2021-07-12,13.65
2021-07-14,13.46
2021-07-15,18.25
2021-07-16,16.37
2021-07-17,15.72
2021-07-18,14.43
2021-07-19,29.31
2021-07-20,29.14
2021-07-21,30.02
2021-07-22,32.08
2021-07-23,20.26
2021-07-24,17.62
2021-07-25,17.27
2021-07-26,14.15
2021-07-27,14.26
2021-07-28,16.59
2021-07-29,17.69
2021-07-30,16.85
2021-07-31,16.97
2021-08-01,16.65
2021-08-02,18.92
2021-08-03,17.66
2021-08-04,15.54
2021-08-05,15.88
2021-08-06,8.87
2021-08-07,11.39
2021-08-08,4.39
2021-08-10,10.64
2021-08-11,13.41
2021-08-12,11.32
2021-08-13,11.14
2021-08-14,14.7
2021-08-15,13.06
2021-08-16,19.04
2021-08-17,16.88
2021-08-18,16.57
2021-08-19,19.04
2021-08-20,39.9
2021-08-21,35.42
2021-08-22,35.4
2021-08-23,13.63
2021-08-24,10.75
2021-08-25,11.59
2021-08-26,10.95
2021-08-27,14.25
2021-08-28,13.17
2021-08-29,12.36
2021-08-30,13.17
2021-08-31,13.82
2021-09-01,15.01
2021-09-02,12.09
2021-09-03,10.36
2021-09-04,13.2
2021-09-05,11.89
2021-09-06,9.84
2021-09-07,12.27
2021-09-08,13.63
2021-09-09,9.95
2021-09-10,11.77
2021-09-11,12.96
2021-09-12,13.28
2021-09-13,14.89
2021-09-14,10.77
2021-09-15,12.28
2021-09-16,11.69
2021-09-18,12.56
2021-09-19,15.26
2021-09-20,18.3
2021-09-21,18.39
2021-09-22,15.27
2021-09-23,14.53
2021-09-25,12.91
2021-09-26,12.23
2021-09-27,14.25
2021-09-28,12.89
2021-09-29,10.63
2021-09-30,10.04
2021-10-01,11.98
2021-10-02,10.73
2021-10-03,11.24
2021-10-04,13.11
2021-10-05,11.3
2021-10-06,12.76
2021-10-07,12.69
2021-10-08,9.07
2021-10-09,12.03
2021-10-10,9.83
2021-10-11,6.95
2021-10-12,6.17
2021-10-13,5.76
2021-10-14,7.86
2021-10-15,8.25
2021-10-16,7.39
2021-10-17,9.48
2021-10-18,10.87
2021-10-19,11.05
2021-10-20,11.32
2021-10-21,11.88
2021-10-22,6.16
2021-10-23,5.91
2021-10-24,2.24
2021-10-25,5.95
2021-10-26,7.37
2021-10-27,10.42
2021-10-28,12.38
2021-10-29,11.25
2021-10-30,8.14
2021-10-31,9.06
2021-11-01,8.2
2021-11-02,8.35
2021-11-03,10.57
2021-11-04,8.36
2021-11-05,10.1
2021-11-06,9.84
2021-11-07,6.57
2021-11-08,9.87
2021-11-09,10.56
2021-11-10,9.58
2021-11-12,5.5
2021-11-13,4.39
2021-11-14,6.62
2021-11-15,5.41
2021-11-16,7.28
2021-11-17,4.58
2021-11-18,5.35
2021-11-19,6.43
2021-11-20,11.23
2021-11-21,5.92
2021-11-22,10.14
2021-11-23,9.02
2021-11-24,8.95
2021-11-25,8.24
2021-11-26,8.54
2021-11-27,6.45
2021-11-28,9.31
2021-11-29,7.55
2021-11-30,9.55
2021-12-01,6.72
2021-12-02,6.42
2021-12-03,4.0
2021-12-04,5.1
2021-12-05,8.35
2021-12-06,7.67
2021-12-07,6.51
2021-12-08,3.83
2021-12-09,4.28
2021-12-10,1.5
2021-12-11,1.0
2021-12-12,3.0
2021-12-13,7.63
2021-12-14,12.94
2021-12-15,8.37
2021-12-16,10.28
2021-12-17,8.7
2021-12-18,6.03
2021-12-19,6.33
2021-12-20,6.56
2021-12-21,6.28
2021-12-22,4.97
2021-12-23,2.06
2021-12-24,1.0
2021-12-26,2.97
2021-12-27,3.16
2021-12-28,4.08
2021-12-29,6.31
2021-12-30,6.17
2021-12-31,4.24
